"","field","regrowth_cycle","slope","month","season","resid","herd"
"70","Leo's",1,107.816666666667,6,"spring",2292,"hay"
"71","Leo's",2,90.9461538461538,7,"summer",2054,"hay"
"72","Lower Barberry",0,226.209523809524,4,"spring",2633.2,NA
"73","Lower Barberry",1,157.3375,6,"spring",2894,"feeders"
"74","Lower Barberry",3,115.485714285714,8,"summer",2886,NA
"75","Lower Sunset",0,325.166666666667,4,"spring",1464,"feeders"
"76","Lower Sunset",1,137.727272727273,5,"spring",2475.2,"feeders"
"77","Lower Sunset",2,108.234482758621,7,"summer",2768,"hay"
"78","Lower Triangle",0,115.31724137931,4,"spring",1606.2,"feeders"
"79","Lower Triangle",1,102.270967741935,5,"spring",1970,"feeders"
"80","Lower Triangle",2,108.060606060606,7,"summer",2333,"feeders"
"81","Lower Triangle",3,160.421052631579,9,"x_fall",1930,"feeders"
"82","Lower Underhill",0,181.085714285714,5,"spring",3107.2,"feeders"
"83","Lower Underhill",1,167.075862068966,6,"spring",2980.8,"feeders"
"84","Lower Underhill",2,214.153846153846,7,"summer",2759.6,"feeders"
"85","POW East",0,117.466666666667,5,"spring",2364.6,NA
"86","POW East",1,135.263157894737,6,"spring",1953.8,"hay"
"87","Plains",0,134.444444444444,4,"spring",2143.4,"hay"
"88","Plains",1,113.694117647059,6,"spring",2152,"hay"
"89","Plains",2,89.7103448275862,7,"summer",2222,"hay"
"90","Playground",0,80.7515151515152,4,"spring",1432.4,NA
"91","Playground",1,77.8,7,"summer",2166,"hay"
"92","Pond",1,123.931034482759,9,"x_fall",2696.4,"feeders"
"93","Railroad",0,125.030303030303,4,"spring",2317.2,"feeders"
"94","Railroad",1,129.028571428571,5,"spring",2538.4,"feeders"
"95","Railroad",2,157.935483870968,7,"summer",2390,"feeders"
"96","Sunset Field",1,171.444444444444,5,"spring",1508,"feeders"
"97","Sunset Field",2,113.430769230769,5,"spring",2190.8,"feeders"
"98","Sunset Field",3,113.430769230769,6,"spring",2111.8,"feeders"
"99","Sunset Field",4,82.7894736842105,8,"summer",1859,"feeders"
"100","Sunset Hill",0,268.666666666667,4,"spring",1416.6,"feeders"
"101","Sunset Hill",1,351.966666666667,5,"spring",2084.5,"feeders"
"102","Sunset Hill",2,131.516666666667,5,"spring",2585.8,"feeders"
"103","Sunset Hill",3,90.1111111111111,6,"spring",2491,"feeders"
"104","Sunset Hill",4,89.6470588235294,8,"summer",1938,"feeders"
"105","Underhill",0,189.342857142857,4,"spring",2380.4,NA
"106","Underhill",1,103.857142857143,8,"summer",2554.2,"feeders"
"107","Underhill Wet Meadow",0,205.142857142857,4,"spring",2348.8,NA
"108","Underhill Wet Meadow",1,89.2285714285714,8,"summer",2775.4,"hay"
"109","Upper Triangle",0,186.494117647059,5,"spring",2522.6,"hay"
"110","Upper Triangle",1,90.4,5,"spring",2680.6,"hay"
"111","Upper Triangle",2,190.714285714286,9,"x_fall",2276,"feeders"
"112","White Cottage",0,94.6,5,"spring",1795.8,NA
"113","White Cottage",1,125.284210526316,6,"spring",1653.6,"hay"
"114","Williams 1A",0,102.207407407407,4,"spring",1748.4,NA
"115","Williams 1A",1,97.8057142857143,6,"spring",2649,"hay"
"116","Williams 1A",2,92.1481481481482,9,"x_fall",1906.4,"hay"
"117","Williams West",0,122.103703703704,4,"spring",1795.8,NA
"118","Williams West",2,105.9875,6,"spring",3028.2,"hay"
"119","Williams West",3,78.0263157894737,8,"summer",2506.8,"hay"
"120","Wilson",0,215.67619047619,4,"spring",1985.4,NA
"121","Wilson",1,90.0387096774193,6,"spring",2412,"hay"
"122","Wilson",2,132.618181818182,8,"summer",2522.6,"hay"
