#Plot cover is canopy cover and totals >100% because of layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In 2025 For all collectors except Jane, ""Grass"" plot cover includes all grass-like monocots like grasses, sedges, bulrushes, rushes, though 100% is max listed under ""grass"" these are often multi-layered within the plot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Jane only included true grasses in ""Grass"" cover and sedges/rushes as a separate type of cover. these should be adjusted for consistency.  one approach could be adding grass + sedge/rush, but overlapping layers could make the total grass cover > 100%. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# ""Thatch"" includes mulch and non-bare but non-vegetated ground cover visible at soil level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Field_2022,Field_2025,Collector,ELU Name,ELU (y/n),Production (y/n),previous_disturbance,wet_area,Plot,graminoids_inclusive,invasive_grass,sedges_rushes,sedges,rushes,woody_inclusive,woody_invasive,forb_inclusive,invasive_forb,legume_forb,flowering_forb,bare,thatch,canopy,max_height_cm,standing_water,multiflora,cherry,thistle,loosestrife,hawthorne,buckthorn,bedstraw,plantain,reed_canarygrass,pokeweed,barberry,dewberry,poison_ivy,honeysuckle,knapweed,milkweed,chervil,goldenrod,marsh_pea,pepperweed,cypress_spurge,bittersweet,swallowwort,garlic_mustard,common_reed,winter_bittercress,Notes
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,19,90,90,10,,,0,,60,0,0,0,20,5,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,20,100,100,0,,,0,,50,5,0,0,0,10,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,AVG,65.25,38.3,8.3,,,48.25,,59,22.55,2,9.75,2.8,13.75,14.5,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Playground Pond,Playground Pond,Brett,Playground Pond,y,n,,,AVG,65.25,38.3,8.3,,,48.25,,59,22.55,2,9.75,2.8,13.75,14.5,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,1,80,60,,,,30,,60,5,10,40,0,25,0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,2,90,40,,,,80,,30,0,25,0,0,10,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,3,40,40,,,,100,,80,80,0,25,0,5,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,4,100,60,,,,50,,75,75,0,30,0,10,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,5,100,0,,,,10,,10,0,0,0,0,20,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,6,80,0,,,,60,,30,0,10,0,0,30,75,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,7,75,0,,,,100,,90,0,20,0,0,5,80,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,8,90,0,,,,30,,40,0,0,0,0,0,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,9,50,0,,,,30,,100,5,0,0,0,10,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,10,90,0,,,,90,,80,25,0,5,0,5,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,11,75,50,,,,0,,100,90,20,20,0,5,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,12,10,0,,,,0,,40,0,0,0,0,0,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,13,90,40,,,,0,,30,0,0,25,0,5,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,14,100,90,,,,0,,50,0,0,0,0,0,0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,15,100,50,,,,0,,30,10,0,0,0,10,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,16,100,90,,,,90,,90,50,10,60,0,0,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,17,75,0,,,,40,,100,100,0,90,5,5,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,18,80,80,,,,90,,90,90,5,75,0,5,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,19,80,75,,,,0,,75,10,5,0,0,30,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,20,90,100,,,,5,,25,1,0,20,0,40,80,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,AVG,79.75,38.75,,,,40.25,,61.25,27.05,5.25,19.5,0.25,11,20.75,102.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Plains Woods North,Plains Woods North,Brett,Plains Woods North,y,n,,,AVG,79.75,38.75,,,,40.25,,61.25,27.05,5.25,19.5,0.25,11,20.75,102.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,1,75,0,,,,60,,30,10,0,0,0,25,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,2,10,0,,,,25,,90,0,20,0,0,20,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,3,10,0,,,,0,,80,5,0,1,15,10,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,4,0,0,,,,0,,60,5,0,0,40,10,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,5,40,0,,,,0,,100,5,0,0,0,10,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,6,75,0,,,,15,,90,20,0,0,0,5,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,7,80,60,,,,0,,60,5,5,0,0,20,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,8,90,80,,,,0,,75,40,0,10,5,15,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,9,80,0,,,,90,,60,5,0,0,0,5,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,10,90,30,,,,90,,0,0,0,0,0,5,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,11,90,5,,,,80,,15,0,5,0,0,5,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,12,90,0,,,,75,,30,0,25,0,0,0,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,13,40,0,,,,10,,75,25,0,0,0,20,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,14,0,0,,,,40,,90,0,0,0,0,40,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,15,100,100,,,,0,,15,15,0,0,0,20,0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,16,75,40,,,,0,,10,10,0,0,30,10,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,17,80,60,,,,0,,0,0,0,0,40,5,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,18,50,40,,,,0,,0,0,0,0,60,15,0,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,19,15,5,,,,0,,100,0,0,0,0,15,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,20,0,0,,,,50,,100,0,0,0,0,5,90,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,AVG,54.5,21,,,,26.75,,54,7.25,2.75,0.55,9.5,13,6,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/25,Jimmy's Wet Meadow,Jimmy's Wet Meadow,Brett,Jimmy's Wet Meadow,y,n,,,AVG,54.5,21,,,,26.75,,54,7.25,2.75,0.55,9.5,13,6,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,1,60,0,,,,0,,80,0,0,0,5,0,60,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,2,90,80,,,,0,,90,1,0,0,5,15,60,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,3,60,5,,,,0,,100,5,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,4,100,0,,,,5,,40,5,0,0,10,5,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,5,100,0,,,,0,,60,15,0,5,0,5,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,6,100,0,,,,0,,5,5,0,0,0,5,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,7,100,0,,,,0,,1,1,0,0,0,0,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,8,90,0,,,,0,,50,0,0,0,0,30,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,9,50,0,,,,0,,25,5,0,5,60,30,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,10,100,0,,,,0,,30,15,0,1,0,25,0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,11,100,0,,,,0,,15,10,0,0,0,15,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,12,80,0,,,,40,,40,0,0,0,0,25,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,13,50,0,,,,0,,10,0,0,0,20,10,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,14,90,0,,,,0,,40,40,0,0,20,0,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,15,90,0,,,,0,,30,25,5,1,0,40,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,16,75,0,,,,40,,75,0,5,0,0,25,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,17,100,0,,,,40,,90,0,0,0,0,5,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,18,75,0,,,,90,,40,0,0,0,0,5,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,19,80,0,,,,80,,0,0,0,0,0,40,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,20,80,0,,,,0,,5,0,0,0,0,50,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,AVG,83.5,4.25,,,,14.75,,41.3,6.35,0.5,0.6,6,16.5,6,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Long Meadow,Long Meadow,Brett,Long Meadow,y,n,,,AVG,83.5,4.25,,,,14.75,,41.3,6.35,0.5,0.6,6,16.5,6,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,1,90,75,,,,0,,5,0,0,0,0,15,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,2,25,25,,,,0,,100,0,50,50,0,5,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,3,80,40,,,,0,,40,10,10,10,0,30,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,4,90,50,,,,15,,30,0,10,15,0,15,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,5,75,50,,,,10,,10,0,0,5,0,40,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,6,90,90,,,,0,,5,0,0,1,0,20,0,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,7,90,75,,,,0,,75,0,0,60,0,5,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,8,75,60,,,,5,,75,5,5,50,0,40,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,9,80,0,,,,20,,30,0,0,0,0,40,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,10,50,50,,,,0,,0,0,0,0,50,0,0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,11,80,0,,,,0,,100,0,15,80,0,10,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,12,90,0,,,,0,,50,40,15,0,0,5,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,13,90,0,,,,20,,80,15,0,5,0,5,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,14,50,0,,,,40,,60,0,30,20,0,30,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,15,30,0,,,,100,,50,0,0,10,0,5,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/25,Broad Meadow,Broad Meadow,Brett,Broad Meadow,y,n,,n,16,0,0,,,,60,,75,0,0,5,0,40,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
