site,date,plot,grass,forb,forb_inv,woody,woody_inv,bare,water,canopy,height,type,disturbance,sedge_rush,pepperweed,multiflora,glossy_buckthorn,purple_loosestrife,bull_thistle,wild_chervil,cypress_suprge,milkweed,bittersweet,swallow_wort,bedstraws,garlic_mustard,marsh_pea,rcg,common reed,winter_bittercress
gp2,6/6/22,3,90,20,0,0,0,0,,0,111,semi_wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,4,80,5,0,0,0,20,,0,106,wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,5,90,10,0,0,0,0,,0,73,semi_wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,6,95,10,0,0,0,0,,0,82,semi_wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,7,100,10,0,0,0,0,,0,148,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,8,75,60,0,10,0,15,,0,63,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,9,90,75,0,0,0,0,,0,75,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,10,90,20,0,0,0,0,,0,62,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,11,80,15,0,25,25,0,,0,90,semi_wet,,1,,1,,,,,,,,,,,,,,
gp2,6/6/22,12,100,5,0,0,0,0,,0,77,semi_wet,,1,,,,,,,,,,,,,,,,
gp2,6/6/22,13,90,15,0,0,0,0,,0,92,pasture,,1,,,,,,,1,,,,,,,,,
gp2,6/6/22,14,40,5,0,1,0,0,,50,81,woody,,,,,,,,,,,,,,,,,,
gp2,6/6/22,15,100,20,0,0,0,0,,0,101,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,16,90,75,0,0,0,0,,0,106,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,17,95,70,0,0,0,0,,0,81,pasture,,,,,,,,,,,,,,,,,,
gp2,6/6/22,18,80,60,0,0,0,10,,0,81,pasture,,,,,,,1,,,,,,,,,,,
gp2,6/6/22,19,90,50,0,0,0,0,,0,94,pasture,,,,,,,,,,1,,,,,,,,
gp2,6/6/22,20,90,60,0,5,0,0,,0,114,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,1,90,50,0,0,0,0,,0,88,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,2,100,25,0,0,0,0,,0,99,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,3,90,60,0,0,0,0,,0,77,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,4,75,90,0,0,0,0,,0,85,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,5,80,90,0,0,0,0,,0,63,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,6,80,20,0,0,0,5,,0,51,hilltop,,,,,,,,,,,,,,,,,,
gp3,6/7/22,7,90,30,0,0,0,0,,0,73,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,8,70,30,5,5,5,15,,100,101,woody,,,,1,,,,,,,1,,,,,,,
gp3,6/7/22,9,40,90,0,0,0,0,,80,91,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,10,60,60,0,15,15,0,,90,98,pasture,,,,1,,,,,,,,,,,,,,
gp3,6/7/22,11,80,40,5,5,0,0,,0,99,pasture,,,,,,,,,,,,1,,,,,,
gp3,6/7/22,12,60,15,0,0,0,15,,0,42,hilltop,,,,,,,,,,,,,,,,,,
gp3,6/7/22,13,90,80,0,0,0,0,,0,92,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,14,90,40,0,0,0,0,,0,82,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,15,85,75,0,0,0,0,,0,108,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,16,90,40,0,0,0,0,,0,73,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,17,75,80,0,0,0,0,,0,83,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,18,90,45,0,0,0,0,,0,94,pasture,,,,,,,,,,,,,,,,,,
gp3,6/7/22,19,90,50,0,0,0,0,,0,81,pasture,,,,,,,,,,,,,1,,,,,
gp3,6/7/22,20,90,20,0,0,0,0,,0,70,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,1,80,75,0,0,0,0,,0,93,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,2,90,75,0,0,0,0,,0,59,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,3,90,10,0,0,0,0,,0,61,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,4,40,5,0,10,10,40,,0,73,hilltop,,,,1,,,,,,,,,,,,,,
gp4,6/6/22,5,10,90,0,0,0,20,,0,49,hilltop,,,,,,,,,,,,,,,,,,
gp4,6/6/22,6,100,15,0,0,0,0,,0,80,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,7,95,20,0,0,0,0,,0,97,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,8,75,30,0,0,0,0,,0,77,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,9,75,40,0,0,0,0,,0,66,pasture,,,,,,,,,,,,,1,,,,,
gp4,6/6/22,10,40,80,0,0,0,0,,0,68,pasture,,,,,,,,,,,,,1,,,,,
gp4,6/6/22,11,90,25,0,0,0,0,,0,67,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,12,100,15,0,0,0,0,,0,96,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,13,100,20,0,0,0,0,,0,69,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,14,40,40,0,50,50,0,,0,101,pasture,,,,1,,,,,,,,,1,,,,,
gp4,6/6/22,15,90,30,0,0,0,0,,0,76,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,16,90,20,0,0,0,0,,0,59,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,17,60,60,0,0,0,5,,0,50,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,18,80,50,0,0,0,0,,0,41,pasture,,,,,,,,,,,,,,,,,,
gp4,6/6/22,19,80,60,0,0,0,0,,0,69,pasture,,,,,,,,,,,,,1,,,,,
gp4,6/6/22,20,90,45,0,0,0,0,,0,73,pasture,,,,,,,,,,1,,,,,,,,
gp5,6/7/22,1,90,60,0,10,0,0,,90,71,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,2,95,10,0,10,10,0,,0,70,pasture,,1,,1,,,,,,,,,,,,,,
gp5,6/7/22,3,100,10,0,0,0,0,,0,78,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,4,100,10,0,0,0,0,,0,128,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,5,90,20,0,0,0,0,,0,99,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,6,90,15,0,0,0,0,,0,87,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,7,100,10,0,0,0,0,,0,75,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,8,100,10,0,0,0,0,,0,88,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,9,90,25,0,0,0,0,,0,72,semi_wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,10,80,40,0,0,0,0,,0,71,semi_wet,,1,,,,,,,,,,,1,,,,,
gp5,6/7/22,11,90,20,0,0,0,0,,0,87,semi_wet,,1,,,,,,,,,,,1,,,,,
gp5,6/7/22,12,80,25,0,0,0,20,,0,101,wet,,1,,,,,,,,,,,,,,,,
gp5,6/7/22,13,100,20,0,0,0,0,,0,76,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,14,90,75,0,0,0,0,,0,111,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,15,80,80,0,0,0,0,,0,99,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,16,80,75,0,0,0,0,,0,62,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,17,90,50,0,0,0,10,,0,67,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,18,80,5,0,15,15,5,,0,59,pasture,,,,1,,,,,,,,,,,,,,
gp5,6/7/22,19,90,80,0,0,0,0,,0,66,pasture,,,,,,,,,,,,,,,,,,
gp5,6/7/22,20,80,75,0,0,0,5,,0,72,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,1,75,1,0,0,0,10,,100,129,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,2,80,15,0,0,0,5,,0,42,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,3,95,15,0,0,0,0,,0,45,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,4,100,20,0,0,0,0,,0,46,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,5,90,40,0,0,0,0,,0,38,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,6,90,30,0,0,0,0,,0,36,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,7,90,40,0,0,0,0,,0,53,semi_wet,,1,,,,,,,,,,,,,,,,
gp6,6/8/22,8,90,20,0,0,0,0,,0,62,semi_wet,,1,,,,,,,,,,,,,,,,
gp6,6/8/22,9,90,40,0,1,0,0,,0,43,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,10,90,25,5,0,0,0,,0,73,semi_wet,,1,,,,1,,,,,,,,,,,,
gp6,6/8/22,11,100,20,15,0,0,0,,0,87,semi_wet,,1,,,,1,,,,,,,,,,,,
gp6,6/8/22,12,100,4,0,0,0,0,,0,52,semi_wet,,1,,,,,,,,,,,1,,,,,
gp6,6/8/22,13,90,0,0,0,0,0,,0,60,semi_wet,,1,,,,,,,,,,,,,,,,
gp6,6/8/22,14,85,50,0,0,0,0,,0,60,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,15,90,50,0,0,0,0,,0,69,pasture,,,,,,,,,,,,,1,,,,,
gp6,6/8/22,16,90,45,5,0,0,0,,0,57,pasture,,,,,,,,1,,,,,,,,,,
gp6,6/8/22,17,40,80,0,0,0,0,,0,62,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,18,70,20,0,30,30,0,,0,81,pasture,,,,1,,,,,,,,,,,,,,
gp6,6/8/22,19,60,60,0,0,0,0,,0,51,pasture,,,,,,,,,,,,,,,,,,
gp6,6/8/22,20,90,40,0,0,0,0,,0,67,pasture,,,,,,,,,,,,,,,,,,
gp7,60222,1,90,35,0,0,0,0,,0,70,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,2,90,75,0,0,0,0,,0,58,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,3,60,80,0,5,5,0,,0,78,semi_wet,grazed,1,,1,,,,,,,,,,,,,,
gp7,60222,4,90,25,0,0,0,0,,0,67,semi_wet,grazed,1,,,,,,,,,,,,,,,,
gp7,60222,5,95,25,0,0,0,0,,0,73,semi_wet,grazed,,,,,,,,,,,,,,,,,
gp7,60222,6,80,75,0,0,0,0,,0,72,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,7,90,25,0,0,0,0,,0,105,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,8,40,80,0,0,0,0,,0,80,hilltop,grazed,,,,,,,,,,,,1,,,,,
gp7,60222,9,90,40,0,0,0,0,,0,51,pasture,grazed,,,,,,,,,,,,1,,,,,
gp7,60222,10,75,80,0,0,0,5,,0,63,pasture,grazed,,,,,,,,,,,,1,,,,,
gp7,60222,11,100,0,0,0,0,5,,0,94,pasture,grazed,,,,,,,,,,,,1,,,,,
gp7,60222,12,50,75,0,0,0,0,,0,95,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,13,75,40,0,0,0,0,,0,87,pasture,grazed,,,,,,,,,,,,,,,,,
gp7,60222,14,50,30,0,0,0,15,,10,88,woody,grazed,,,,,,,,,,,,,,,,,
gp7,60222,15,20,75,25,0,0,15,,25,54,woody,grazed,,,,,,,1,,,,,,,,,,
gp7,60222,16,5,15,10,0,0,80,,75,63,woody,grazed,,,,,,1,1,,,,,,,,,,
gp7,60222,17,80,10,0,1,1,15,,50,79,woody,grazed,,,1,,,,,,,,,,,,,,
gp7,60222,18,80,20,5,5,5,0,,0,61,pasture,grazed,,,1,,,,1,,,,,,,,,,
gp7,60222,19,90,15,0,0,0,0,,80,43,pasture,grazed,,,,,,,,,,,,1,,,,,
gp7,60222,20,90,15,5,0,0,0,,0,62,pasture,grazed,,,,,,1,,,,,,,,,,,
gp8,6/7/22,1,90,10,0,0,0,5,,0,86,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,2,50,5,0,0,0,50,,90,72,woody,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,3,50,20,0,0,0,40,,10,75,woody,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,4,70,20,0,0,0,40,,50,65,woody,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,5,15,15,10,1,0,60,,100,38,woody,grazed ,,,,,,,,,,,,,1,,,,
gp8,6/7/22,6,60,1,0,1,0,20,,60,30,woody,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,7,90,5,0,5,0,0,,10,59,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,8,90,5,0,0,0,5,,0,53,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,9,100,5,0,0,0,0,,0,77,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,10,90,10,0,0,0,0,,0,56,pasture,grazed ,,,,,,,,,,,,1,,,,,
gp8,6/7/22,11,100,15,0,0,0,0,,0,82,pasture,grazed ,1,,,,,,,,,,,,,,,,
gp8,6/7/22,12,90,20,0,0,0,0,,0,62,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,13,90,20,0,0,0,0,,0,46,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,14,100,0,0,0,0,0,,0,75,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,15,100,0,0,0,0,0,,0,79,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,16,100,10,0,0,0,0,,0,71,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,17,100,25,0,0,0,0,,0,116,pasture,grazed ,,,,,,,,,,,,1,,,,,
gp8,6/7/22,18,100,15,0,0,0,5,,0,72,pasture,grazed ,1,,,,,,,,,,,,,,,,
gp8,6/7/22,19,90,5,0,0,0,0,,0,82,pasture,grazed ,,,,,,,,,,,,,,,,,
gp8,6/7/22,20,90,40,0,0,0,0,,0,70,pasture,grazed ,1,,,,,,,,,,,,,,,,
barberry,6/10/22,1,90,30,0,0,0,0,,0,107,pasture,partially_grazed,1,,,,,,,,,,,,,,,,
barberry,6/10/22,2,100,15,0,0,0,0,,0,154,pasture,partially_grazed,1,,,,,,,,,,,,,,,,
barberry,6/10/22,3,90,20,0,5,0,0,,0,105,pasture,partially_grazed,1,,,,,,,,,,,,,,,,
barberry,6/10/22,4,90,5,0,1,0,0,,0,59,pasture,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,5,100,5,0,0,0,0,,0,98,pasture,partially_grazed,1,,,,,,,,,,,,,,,,
barberry,6/10/22,6,90,10,0,0,0,5,,0,77,pasture,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,7,75,5,0,1,0,40,,0,51,woody,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,8,80,5,0,0,0,0,,0,73,pasture,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,9,100,10,0,0,0,0,,0,68,pasture,partially_grazed,1,,,,,,,,,,,1,,,,,
barberry,6/10/22,10,75,0,0,0,0,15,,0,86,semi_wet,partially_grazed,1,,,,,,,,,,,1,,,,,
barberry,6/10/22,11,100,50,0,0,0,0,,0,138,pasture,partially_grazed,,,,,,,,,,,,1,,,,,
barberry,6/10/22,12,90,40,0,0,0,0,,0,110,pasture,partially_grazed,,,,,,,,,,,,1,,,,,
barberry,6/10/22,13,75,90,0,10,0,0,,0,127,pasture,partially_grazed,,,,,,,,,,,,1,,,,,
barberry,6/10/22,14,100,20,0,0,0,0,,0,77,pasture,partially_grazed,,,,,,,,,,,,1,,,,,
barberry,6/10/22,15,50,10,0,0,0,40,,0,62,hilltop,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,16,100,10,0,0,0,0,,0,91,pasture,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,17,100,15,5,0,0,0,,0,108,pasture,partially_grazed,,,,,,,,,,1,,,,,,,
barberry,6/10/22,18,20,90,0,0,0,0,,0,84,woody,partially_grazed,,,,,,,,,,,,,,,,,
barberry,6/10/22,19,75,20,0,30,15,0,,0,90,woody,partially_grazed,,,1,,,,,,,,,,,,,,
barberry,6/10/22,20,80,50,0,0,0,0,,0,89,pasture,partially_grazed,,,,,,,,,,,,,,,,,
briar,7/14/22,1,90,20,0,0,0,0,,0,139,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,2,70,30,0,0,0,0,,0,64,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,3,80,20,0,0,0,10,,0,59,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,4,90,15,0,0,0,0,,0,60,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,5,50,40,0,0,0,0,,0,67,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,6,20,70,0,0,0,0,,0,55,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,7,60,30,0,0,0,0,,0,53,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,8,40,40,0,0,0,20,,0,52,pasture,hayed,,,,,,,,,,,,2,,,,,
briar,7/14/22,9,90,70,0,0,0,0,,0,56,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,10,30,40,0,0,0,0,,0,96,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,11,30,50,0,0,0,10,,0,67,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,12,50,50,0,5,0,5,,0,59,pasture,hayed,,,,,,,,,1,,,,,,,,
briar,7/14/22,13,40,50,0,0,0,10,,0,78,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,14,50,30,0,0,0,10,,0,42,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,15,80,20,0,0,0,0,,0,47,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,16,80,15,0,0,0,0,,0,51,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,17,90,15,0,0,0,5,,0,38,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,18,70,10,0,0,0,10,,0,46,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,19,90,10,0,0,0,0,,50,137,pasture,hayed,,,,,,,,,,,,,,,,,
briar,7/14/22,20,90,30,0,0,0,0,,30,133,pasture,hayed,,,,,,,,,,,,,,,,,
broad_meadow_dry,6/15/22,1,75,60,20,0,0,0,,0,119,,,2,,,,2,,,,,,,1,,,,,
broad_meadow_dry,6/15/22,2,90,20,10,5,0,0,,0,108,,,2,,,,1,,,,,,,,,1,,,
broad_meadow_dry,6/15/22,3,70,15,10,0,0,30,,0,98,,,2,,,,,,,,,,,,,,,,
broad_meadow_dry,6/15/22,4,80,10,0,0,0,10,,0,87,,,2,,,,,,,,,,,,,,,,
broad_meadow_dry,6/15/22,5,90,5,0,0,0,0,,0,132,,,2,,,,,,,,,,,,,,,,
broad_meadow_dry,6/15/22,6,90,30,5,0,0,0,,0,149,,,1,,,,1,,,,,,,1,,,2,,
broad_meadow_dry,6/15/22,7,90,25,15,0,0,0,,0,97,,,2,,,,1,,,,,,,1,,,,,
broad_meadow_dry,6/15/22,8,80,15,0,25,10,0,,0,74,,,2,,1,,,,,,,,,1,,,,,
broad_meadow_dry,6/15/22,9,80,15,15,0,0,15,,0,82,,,1,,,,1,,,,,,,1,,,2,,
broad_meadow_dry,6/15/22,10,80,70,15,0,0,0,,0,119,,,1,,,,1,,,,,,,,,1,,,
broad_meadow_dry,6/15/22,11,70,15,15,0,0,10,,0,117,,,1,,,,1,,,,,,,,,,,,
broad_meadow_dry,6/15/22,12,75,15,10,0,0,10,,0,114,,,1,,,,1,,,,,,,1,,,1,,
broad_meadow_dry,6/15/22,13,90,20,5,25,0,0,,0,98,,,1,,,,1,,,,,,,,,,,,
broad_meadow_dry,6/15/22,14,75,80,0,30,10,0,,0,84,,,,,1,,,,,,,,,1,,,,,
broad_meadow_dry,6/15/22,15,70,20,15,30,0,0,,0,54,,,,,,,1,,,,,,,,,,,,
broad_meadow_dry,6/15/22,16,80,15,1,30,0,0,,0,99,,,1,,,,1,,,,,,,,,,,,
broad_meadow_dry,6/15/22,17,90,10,0,10,0,0,,0,106,,,1,,,,,,,,,,,1,,,,,
broad_meadow_dry,6/15/22,18,75,15,15,0,0,30,,0,116,,,1,,,,1,,,,,,,,,,,,
broad_meadow_dry,6/15/22,19,100,5,5,0,0,0,,0,70,,,1,,,,1,,,,,,,,,,2,,
broad_meadow_dry,6/15/22,20,60,10,10,0,0,40,,0,181,,,1,,,,,,,,,,,,,,,,
broad_meadow_wet,6/22/22,1,80,5,5,0,0,10,,0,148,semi_wet,,1,,,,1,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,2,25,0,0,0,0,0,80,0,178,wet,,2,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,3,100,0,0,1,0,20,,0,190,semi_wet,,1,,,,,,,,,,,,,,,,
broad_meadow_wet,6/22/22,4,20,0,0,0,0,0,,0,106,semi_wet,,,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,5,60,0,0,0,0,0,,0,185,semi_wet,,,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,6,75,0,0,0,0,5,,0,158,semi_wet,,,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,7,30,10,0,0,0,0,30,0,145,wet,,,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,8,90,0,0,0,0,15,,0,181,semi_wet,,1,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,9,80,0,0,0,0,20,,0,163,semi_wet,,2,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,10,100,0,0,0,0,0,,0,180,semi_wet,,,,,,,,,,,,,,,,2,,
broad_meadow_wet,6/22/22,11,25,0,0,0,0,0,80,0,119,wet,,,,,,,,,,,,,,,,2,2,
broad_meadow_wet,6/22/22,12,75,0,0,0,0,0,10,0,106,semi_wet,,,,,,,,,,,,,,,,1,1,
broad_meadow_wet,6/22/22,13,75,0,0,0,0,40,,0,167,semi_wet,,,,,,,,,,,,,,,,,1,
broad_meadow_wet,6/22/22,14,100,0,0,0,0,0,20,0,215,wet,,,,,,,,,,,,,,,,,1,
broad_meadow_wet,6/22/22,15,90,0,0,0,0,0,25,0,209,wet,,,,,,,,,,,,,,,,,1,
drainage,6/8/22,1,90,25,0,0,0,15,,0,68,pasture,grazed,,,,,,,,,,,,,,,,,
drainage,6/8/22,2,100,0,0,0,0,0,,0,62,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,3,95,5,0,0,0,0,,0,70,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,4,90,20,0,0,0,5,,0,65,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,5,100,10,0,1,0,0,,0,81,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,6,90,10,0,0,0,15,,0,92,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,7,100,0,0,0,0,0,,0,139,wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,8,80,0,0,0,0,30,,0,137,wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,9,90,20,15,0,0,10,,10,143,semi_wet,grazed,1,,,,1,,,,,,,,,,,,
drainage,6/8/22,10,90,30,0,20,20,0,,70,110,woody,grazed,,,1,,,,,,,,,,,,,,
drainage,6/8/22,11,80,40,15,0,0,0,,10,66,woody,grazed,,,,,,1,,,,,,,,,,,
drainage,6/8/22,12,90,5,0,20,20,0,,0,99,pasture,grazed,,,1,,,,,,,,,,,,,,
drainage,6/8/22,13,90,15,0,0,0,15,,0,114,semi_wet,grazed,1,,,,,,,,,,,,,,,,
drainage,6/8/22,14,100,15,0,0,0,0,,0,115,pasture,grazed,,,,,,,,,,,,,,,,,
